"";"maxO3";"T9";"T12";"T15";"Ne9";"Ne12";"Ne15";"Vx9";"Vx12";"Vx15";"maxO3v";"vent";"pluie"
"601";87;15,6;18,5;18,4;4;4;8;0,6946;-1,7101;-0,6946;NA;NA;"Sec"
"602";NA;17;18,4;17,7;5;5;7;NA;-4;NA;NA;"Nord";"Sec"
"603";NA;15,3;17,6;NA;NA;5;4;2,9544;1,8794;0,5209;82;"Est";"Sec"
"604";NA;16,2;NA;NA;1;1;0;0,9848;0,3473;NA;92;"Nord";"Sec"
"605";NA;17,4;NA;20,4;8;8;NA;-0,5;-2,9544;-4,3301;114;"Ouest";NA
"606";80;17,7;19,8;NA;6;6;7;NA;-5;-6;94;"Ouest";"Pluie"
"607";NA;NA;NA;14,9;7;NA;8;NA;-1,8794;-3,7588;80;NA;NA
"610";NA;14,9;NA;NA;5;5;NA;0;-1,0419;-1,3892;99;"Nord";NA
"611";101;16,1;19,6;21,4;NA;4;NA;-0,766;-1,0261;-2,2981;79;"Nord";"Sec"
"612";106;NA;NA;NA;NA;6;NA;NA;-2,2981;-3,9392;NA;"Ouest";"Sec"
"613";101;17,3;19,3;20,2;7;7;3;-1,5;-1,5;NA;106;"Nord";NA
"614";90;17,6;20,3;17,4;NA;6;8;NA;-1,0419;-0,6946;101;"Sud";NA
"615";72;18,3;19,6;NA;NA;5;6;NA;-2,7362;-6,8944;90;"Sud";"Sec"
"616";70;17,1;18,2;18;NA;7;NA;-4,3301;-7,8785;-5,1962;NA;"Ouest";"Pluie"
"617";NA;15,4;17,4;NA;8;7;NA;-4,3301;-2,0521;NA;70;NA;NA
"618";88;15,9;NA;21,5;NA;5;4;0,5209;-2,9544;NA;83;NA;NA
"620";145;21;24,6;NA;0;1;NA;-0,342;NA;-0,684;NA;"Ouest";"Sec"
"621";81;NA;22,4;23,4;NA;3;1;NA;0,3473;NA;NA;"Nord";"Sec"
"622";NA;19,7;24,2;26,9;2;NA;0;1,5321;NA;2;81;"Est";"Sec"
"623";146;23,6;28,6;28,4;NA;1;NA;1;-1,9284;-1,2155;121;"Sud";"Sec"
"624";NA;20,4;NA;27,7;1;0;0;NA;-0,5209;1,0261;146;"Nord";NA
"625";146;27;32,7;33,7;0;0;NA;NA;6,5778;4,3301;NA;"Est";"Sec"
"626";NA;24;NA;NA;4;4;NA;NA;-3,8567;-4,6985;146;"Sud";NA
"627";83;19,7;NA;24,8;7;6;6;-2,5981;NA;-4,924;108;"Ouest";"Sec"
"628";57;20,1;NA;22,8;NA;NA;NA;-5,6382;NA;NA;NA;"Ouest";"Pluie"
"629";81;NA;25,1;27,2;NA;4;4;-1,9284;-2,5712;-4,3301;57;"Sud";"Sec"
"630";67;19,5;NA;23,7;5;NA;4;NA;NA;-0,8682;NA;NA;"Sec"
"701";70;NA;NA;NA;5;NA;1;NA;0;1,3681;NA;"Nord";NA
"702";106;24,1;28,4;NA;0;NA;1;2,8191;3,9392;3,4641;70;"Est";"Sec"
"703";139;26,6;30,1;31,9;NA;1;4;1,8794;2;NA;106;"Sud";"Sec"
"704";79;NA;NA;17,8;NA;8;NA;NA;-0,866;-1,0261;139;"Ouest";"Sec"
"705";93;16,8;18,2;22;8;8;6;0;NA;1,2856;NA;"Sud";"Pluie"
"706";97;20,8;23,7;25;NA;3;4;0;1,7101;NA;NA;"Nord";NA
"707";NA;NA;18,2;22,7;8;NA;5;-3,7588;NA;-4,6985;97;"Ouest";NA
"708";72;18,1;21,2;23,9;NA;6;4;-2,5981;-3,9392;-3,7588;113;"Ouest";"Pluie"
"709";88;19,2;NA;25,2;4;NA;4;-1,9696;-3,0642;-4;NA;"Ouest";"Sec"
"710";77;NA;20,7;22,5;7;8;7;-6,5778;NA;NA;88;"Ouest";NA
"711";NA;19,2;21;22,4;NA;4;6;NA;-6,8937;NA;77;"Ouest";"Sec"
"712";56;13,8;17,3;NA;NA;8;NA;1,5;-3,8302;NA;71;"Ouest";"Pluie"
"713";45;14,3;14,5;NA;NA;8;8;0,684;NA;2,9544;56;"Est";"Pluie"
"714";NA;NA;NA;20,3;5;7;NA;-3,2139;-3,7588;-4;NA;"Ouest";"Pluie"
"715";67;16,9;19,1;NA;5;NA;NA;-2,2981;-3,7588;NA;NA;"Ouest";NA
"716";84;17,4;20,4;NA;3;4;6;0;0,3473;-2,5981;NA;"Sud";"Sec"
"717";63;15,1;20,5;20,6;8;6;NA;2;NA;-6,1284;84;NA;"Pluie"
"718";69;15,1;15,6;NA;8;8;8;NA;-3,8302;-4,3301;63;"Ouest";NA
"719";92;NA;19,1;NA;NA;6;NA;-2,0521;-4,4995;-2,7362;NA;"Nord";"Sec"
"720";88;16,9;20,3;20,7;6;NA;5;-2,8191;NA;-3;NA;"Ouest";"Pluie"
"721";NA;18;NA;23,3;8;NA;5;-3;-3,5;-3,2139;NA;NA;"Sec"
"722";72;18,6;21,9;NA;4;7;6;NA;-1,9696;NA;66;"Ouest";NA
"723";81;18,8;22,5;NA;6;3;2;NA;NA;-2;72;"Nord";"Sec"
"724";83;19;22,5;NA;2;4;6;0;NA;NA;81;"Nord";"Sec"
"725";149;19,9;26,9;29;3;NA;NA;1;-0,9397;NA;83;"Ouest";NA
"726";153;23,8;27,7;NA;1;1;4;0,9397;1,5;0;NA;"Nord";NA
"727";NA;24;NA;26,5;2;NA;NA;NA;1,2856;-2;153;NA;NA
"728";NA;23,3;27,6;28,8;NA;6;NA;0,866;-1,5321;-0,1736;159;"Ouest";NA
"729";160;25;NA;NA;0;NA;NA;1,5321;-0,684;NA;NA;"Sud";NA
"730";NA;NA;30,5;32,2;NA;1;4;-0,5;-1,8794;-1,2856;160;NA;"Sec"
"731";NA;NA;26,3;27,8;1;0;2;-1,3681;NA;0;NA;"Nord";"Sec"
"801";126;NA;NA;31,2;NA;4;4;NA;3,7588;5;NA;"Est";"Sec"
"802";NA;21,3;NA;22,1;7;7;NA;0;-2,3941;-1,3892;126;NA;"Pluie"
"803";NA;20;NA;NA;5;NA;6;-3,4641;-2,5981;-3,7588;116;NA;"Pluie"
"804";NA;NA;NA;20,3;6;7;NA;NA;NA;NA;NA;"Ouest";NA
"805";54;18,6;18,7;17,8;NA;8;8;-4,6985;-2,5;-0,8682;63;"Sud";"Pluie"
"806";65;19,2;23;NA;8;NA;7;NA;NA;NA;NA;NA;"Sec"
